model,layer_id,layer_name,layer_kind,isb_accesses,filter_accesses,output_accesses,total_cycles
vgg16,0,"features.3",conv,389904,389904,41742,456766
vgg16,1,"features.7",conv,96580,96580,12513,115816
vgg16,2,"features.10",conv,242175,242175,13731,270399
vgg16,3,"features.14",conv,83480,83480,1944,91895
vgg16,4,"features.17",conv,174574,174574,2127,189576
vgg16,5,"features.20",conv,170056,170056,3422,186197
vgg16,6,"features.24",conv,70420,70420,660,158063
vgg16,7,"features.27",conv,175224,175224,4180,255407
vgg16,8,"features.30",conv,456960,456960,109836,600111
vgg16,9,"features.34",conv,40800,40800,624,64249
vgg16,10,"features.37",conv,53072,53072,119,65093
vgg16,11,"features.40",conv,71616,71616,1209,80191
vgg16,12,"classifier",fc,732,732,4,1186
